Date,ARDATA.OnVentCum,ARDATA.OnVentCurr
2020-6-11,150,45
2020-6-12,157,49
2020-6-13,160,49
2020-6-14,162,46
2020-6-15,163,45
2020-6-16,165,45
2020-6-17,168,53
2020-6-18,173,53
2020-6-19,175,53
2020-6-20,175,53
2020-6-21,184,59
2020-6-22,186,61
2020-6-23,186,57
2020-6-24,189,58
2020-6-25,194,61
2020-6-26,203,61
2020-6-27,206,63
2020-6-28,210,63
2020-6-29,211,63
2020-6-30,220,67
2020-7-1,224,72
2020-7-2,231,72
2020-7-3,236,70
2020-7-4,240,70
2020-7-5,240,70
2020-7-6,245,81
2020-7-7,247,81
2020-7-8,254,89
2020-7-9,284,82
2020-7-10,260,84
2020-7-11,265,84
2020-7-12,266,84
2020-7-13,269,89
2020-7-14,273,91
2020-7-15,279,94
2020-7-16,286,101
2020-7-17,298,97
2020-7-18,304,97
2020-7-19,307,97
2020-7-20,309,111
2020-7-21,316,111
2020-7-22,323,107
2020-7-23,329,107
2020-7-24,329,109
2020-7-25,329,109
2020-7-26,358,105
2020-7-27,369,110
2020-7-28,377,110
2020-7-29,387,108
2020-7-30,387,108
2020-7-31,395,100
2020-8-1,395,100
2020-8-2,397,104
2020-8-3,403,108
2020-8-4,414,101
2020-8-5,424,106
2020-8-6,424,111
2020-8-7,429,111
2020-8-8,435,116
2020-8-9,437,117
2020-8-10,443,117
2020-8-11,450,116
2020-8-12,455,113
2020-8-13,466,112
2020-8-14,466,113
2020-8-15,460,108
2020-8-16,460,120
2020-8-17,472,120
2020-8-18,478,122
2020-8-19,483,114
2020-8-20,488,108
2020-8-21,499,120
2020-8-22,502,108
2020-8-23,502,110
2020-8-24,507,108
2020-8-25,514,108
2020-8-26,525,108
2020-8-27,533,99
2020-8-28,538,95
2020-8-29,538,95
2020-8-30,541,84
2020-8-31,542,87
2020-9-1,554,85
2020-9-2,556,90
2020-9-3,562,91
2020-9-4,564,86
2020-9-5,566,78
2020-9-6,568,78
2020-9-7,571,74
2020-9-8,579,84
2020-9-9,586,82
2020-9-10,589,79
2020-9-11,597,76
2020-9-12,597,76
2020-9-13,601,83
2020-9-14,603,76
2020-9-15,606,68
2020-9-16,616,65
2020-9-17,619,72
2020-9-18,624,77
2020-9-19,628,74
2020-9-20,628,83
2020-9-21,632,95
2020-9-22,638,87
2020-9-23,640,89
2020-9-24,650,97
2020-9-25,657,95
2020-9-26,657,91
2020-9-27,661,86
2020-9-28,661,99
2020-9-29,671,98
2020-9-30,676,93
2020-10-1,678,92
2020-10-2,681,89
2020-10-3,688,95
2020-10-4,691,88
2020-10-5,696,93
2020-10-6,701,99
2020-10-7,715,98
2020-10-8,723,102
2020-10-9,723,102
2020-10-10,730,97
2020-10-11,731,97
2020-10-12,737,103
2020-10-13,747,105
2020-10-14,755,112
2020-10-15,760,103
2020-10-16,764,101
2020-10-17,766,92
2020-10-18,769,96
2020-10-19,776,95
2020-10-20,782,96
2020-10-21,796,94
2020-10-22,796,91
2020-10-23,807,92
2020-10-24,808,94
2020-10-25,808,91
2020-10-26,812,97
2020-10-27,819,89
2020-10-28,825,94
2020-10-29,829,95
2020-10-30,834,96
2020-10-31,834,100
2020-11-1,838,106
2020-11-2,845,112
2020-11-3,851,113
2020-11-4,856,106
2020-11-5,859,105
2020-11-6,863,105
2020-11-7,865,105
2020-11-8,866,105
2020-11-9,869,116
2020-11-10,876,126
2020-11-11,882,116
2020-11-12,887,116
2020-11-13,891,114
2020-11-14,894,114
2020-11-15,896,116
2020-11-16,902,123
2020-11-17,909,133
2020-11-18,916,142
2020-11-19,925,143
2020-11-20,932,146
2020-11-21,934,154
2020-11-22,938,163
2020-11-23,945,164
2020-11-24,951,160
2020-11-25,960,191
2020-11-26,960,169
2020-11-27,966,192
2020-11-28,971,183
2020-11-29,975,185
2020-11-30,989,211
2020-12-1,994,195
2020-12-2,1002,186
2020-12-3,1025,190
2020-12-4,1034,191
2020-12-5,1038,178
2020-12-6,1038,179
2020-12-7,1044,182
2020-12-8,1060,182
2020-12-9,1068,179
2020-12-10,1071,181
2020-12-11,1089,185
2020-12-12,1091,177
2020-12-13,1091,181
2020-12-14,1095,180
2020-12-15,1099,190
2020-12-16,1117,184
2020-12-17,1125,188
2020-12-18,1132,181
2020-12-19,1136,177
2020-12-20,1136,177
2020-12-21,1142,174
2020-12-22,1147,173
2020-12-23,1163,174
2020-12-24,1166,178
2020-12-25,1171,183
2020-12-26,1170,173
2020-12-27,1180,186
2020-12-28,1188,201
2020-12-29,1199,198
2020-12-30,1212,205
2020-12-31,1223,209
2021-1-1,1230,205
2021-1-2,1231,197
2021-1-3,1234,194
2021-1-4,1234,212
2021-1-5,1256,224
2021-1-6,1271,217
2021-1-7,1277,218
2021-1-8,1282,219
2021-1-9,1289,223
2021-1-10,1290,319
2021-1-11,1290,268
2021-1-12,1306,251
2021-1-13,1315,255
2021-1-14,1329,241
2021-1-15,1340,226
2021-1-16,1348,214
2021-1-17,1348,221
2021-1-18,1353,216
2021-1-19,1368,209
2021-1-20,1374,212
2021-1-21,1379,195
2021-1-22,1383,193
2021-1-23,1390,184
2021-1-24,1390,170
2021-1-25,1395,187
2021-1-26,1408,176
2021-1-27,1410,157
2021-1-28,1414,143
2021-1-29,1420,144
2021-1-30,1421,146
2021-1-31,1421,148
2021-2-1,1426,146
2021-2-2,1433,141
2021-2-3,1440,142
2021-2-4,1449,145
2021-2-5,1449,144
2021-2-6,1458,124
2021-2-7,1458,126
2021-2-8,1458,142
2021-2-9,1464,137
2021-2-10,1469,138
2021-2-11,1471,117
2021-2-12,1473,123
2021-2-13,1474,113
2021-2-14,1474,109
2021-2-15,1475,111
2021-2-16,1480,110
2021-2-17,1480,110
2021-2-18,1494,107
2021-2-19,1495,108
2021-2-20,1500,103
2021-2-21,1500,114
2021-2-22,1503,109
2021-2-23,1505,99
2021-2-24,1509,99
2021-2-25,1516,108
2021-2-26,1518,98
2021-2-27,1520,97
2021-2-28,1520,85
2021-3-1,1520,84
2021-3-2,1519,80
2021-3-3,1521,91
2021-3-4,1525,91
2021-3-5,1530,86
2021-3-6,1533,75
2021-3-7,1533,65
