Date,NVDATA.OnVentCum,NVDATA.OnVentCurr
2021-1-2,0,273
2021-1-3,0,273
2021-1-4,0,268
2021-1-5,0,278
2021-1-6,0,280
2021-1-7,0,280
2021-1-8,0,263
2021-1-9,0,277
2021-1-10,0,277
2021-1-11,0,279
2021-1-12,0,292
2021-1-13,0,280
2021-1-14,0,288
2021-1-15,0,287
2021-1-16,0,285
2021-1-17,0,285
2021-1-18,0,285
2021-1-19,0,289
2021-1-20,0,287
2021-1-21,0,273
2021-1-22,0,256
2021-1-23,0,258
2021-1-24,0,258
2021-1-25,0,247
2021-1-26,0,243
2021-1-27,0,235
2021-1-28,0,236
2021-1-29,0,221
2021-1-30,0,203
2021-1-31,0,203
2021-2-1,0,184
2021-2-2,0,182
2021-2-3,0,159
2021-2-4,0,153
2021-2-5,0,155
2021-2-6,0,151
2021-2-7,0,151
2021-2-8,0,147
2021-2-9,0,151
2021-2-10,0,139
2021-2-11,0,147
2021-2-12,0,137
2021-2-13,0,127
2021-2-14,0,127
2021-2-15,0,117
2021-2-16,0,113
2021-2-17,0,110
2021-2-18,0,111
2021-2-19,0,106
2021-2-20,0,103
2021-2-21,0,103
2021-2-22,0,87
2021-2-23,0,84
2021-2-24,0,78
2021-2-25,0,71
2021-2-26,0,72
2021-2-27,0,67
2021-2-28,0,67
2021-3-1,0,56
2021-3-2,0,53
2021-3-3,0,53
2021-3-4,0,47
2021-3-5,0,49
2021-3-6,0,48
2021-3-7,0,48
