Date,KSDATA.OnVentCum,KSDATA.OnVentCurr
2021-2-24,411,22
2021-2-25,411,22
2021-2-26,411,29
2021-2-27,411,29
2021-2-28,411,29
2021-3-1,411,16
2021-3-2,411,16
2021-3-3,411,23
2021-3-4,411,23
2021-3-5,411,22
2021-3-6,411,22
2021-3-7,411,22
