Date,MSDATA.TotalTestResults,MSDATA.TotalTestResultsInc
2021-2-15,1681363,33290
2021-2-16,1682097,734
2021-2-17,1682781,684
2021-2-18,1682915,134
2021-2-19,1683275,360
2021-2-20,1683625,350
2021-2-21,1684015,390
2021-2-22,1727060,43045
2021-2-23,1727408,348
2021-2-24,1728077,669
2021-2-25,1728997,920
2021-2-26,1729728,731
2021-2-27,1730277,549
2021-2-28,1730981,704
2021-3-1,1754368,23387
2021-3-2,1754669,301
2021-3-3,1755049,380
2021-3-4,1755528,479
2021-3-5,1756119,591
2021-3-6,1756695,576
2021-3-7,1756955,260
