Date,MNDATA.TotalTestResults,MNDATA.TotalTestResultsInc
2021-2-3,6281780,16944
2021-2-4,6326093,44313
2021-2-5,6360982,34889
2021-2-6,6391756,30774
2021-2-7,6415297,23541
2021-2-8,6433140,17843
2021-2-9,6442513,9373
2021-2-10,6459253,16740
2021-2-11,6497251,37998
2021-2-12,6535718,38467
2021-2-13,6563488,27770
2021-2-14,6586481,22993
2021-2-15,6603904,17423
2021-2-16,6611756,7852
2021-2-17,6630126,18370
2021-2-18,6661749,31623
2021-2-19,6700993,39244
2021-2-20,6729262,28269
2021-2-21,6754710,25448
2021-2-22,6771188,16478
2021-2-23,6779613,8425
2021-2-24,6785781,6168
2021-2-25,6831489,45708
2021-2-26,6866911,35422
2021-2-27,6891674,24763
2021-2-28,6916577,24903
2021-3-1,6934737,18160
2021-3-2,6943992,9255
2021-3-3,6960999,17007
2021-3-4,7023826,62827
2021-3-5,7058033,34207
2021-3-6,7086059,28026
2021-3-7,7111428,25369
