Date,NMDATA.TotalTestResults,NMDATA.TotalTestResultsInc
2020-12-20,1833325,10156
2020-12-21,1841584,8259
2020-12-22,1851782,10198
2020-12-23,1861862,10080
2020-12-24,1876924,15062
2020-12-25,1912551,35627
2020-12-26,1923907,11356
2020-12-27,1932739,8832
2020-12-28,1939081,6342
2020-12-29,1946285,7204
2020-12-30,1954680,8395
2020-12-31,1970212,15532
2021-1-1,1983507,13295
2021-1-2,1995329,11822
2021-1-3,2006168,10839
2021-1-4,2012759,6591
2021-1-5,2023459,10700
2021-1-6,2032578,9119
2021-1-7,2048336,15758
2021-1-8,2061985,13649
2021-1-9,2078816,16831
2021-1-10,2093575,14759
2021-1-11,2101155,7580
2021-1-12,2113785,12630
2021-1-13,2124990,11205
2021-1-14,2140562,15572
2021-1-15,2127494,0
2021-1-16,2140605,13111
2021-1-17,2157518,16913
2021-1-18,2163964,6446
2021-1-19,2175023,11059
2021-1-20,2185009,9986
2021-1-21,2198850,13841
2021-1-22,2214495,15645
2021-1-23,2232240,17745
2021-1-24,2245108,12868
2021-1-25,2255066,9958
2021-1-26,2262391,7325
2021-1-27,2271257,8866
2021-1-28,2285935,14678
2021-1-29,2306874,20939
2021-1-30,2328334,21460
2021-1-31,2343455,15121
2021-2-1,2354900,11445
2021-2-2,2365894,10994
2021-2-3,2376514,10620
2021-2-4,2386859,10345
2021-2-5,2402484,15625
2021-2-6,2418457,15973
2021-2-7,2430327,11870
2021-2-8,2439850,9523
2021-2-9,2448551,8701
2021-2-10,2458248,9697
2021-2-11,2486602,28354
2021-2-12,2512101,25499
2021-2-13,2535285,23184
2021-2-14,2543345,8060
2021-2-15,2551232,7887
2021-2-16,2556514,5282
2021-2-17,2567877,11363
2021-2-18,2575686,7809
2021-2-19,2586662,10976
2021-2-20,2600275,13613
2021-2-21,2609761,9486
2021-2-22,2619107,9346
2021-2-23,2627817,8710
2021-2-24,2642422,14605
2021-2-25,2652210,9788
2021-2-26,2669565,17355
2021-2-27,2681383,11818
2021-2-28,2693461,12078
2021-3-1,2699792,6331
2021-3-2,2710151,10359
2021-3-3,2720382,10231
2021-3-4,2738734,18352
2021-3-5,2757994,19260
2021-3-6,2771840,13846
2021-3-7,2783542,11702
