Date,NVDATA.TotalTestResults,NVDATA.TotalTestResultsInc
2021-1-3,2122793,11234
2021-1-4,2140442,17649
2021-1-5,2150738,10296
2021-1-6,2162129,11391
2021-1-7,2180031,17902
2021-1-8,2198483,18452
2021-1-9,2210776,12293
2021-1-10,2223317,12541
2021-1-11,2235084,11767
2021-1-12,2254748,19664
2021-1-13,2268691,13943
2021-1-14,2289156,20465
2021-1-15,2304127,14971
2021-1-16,2317860,13733
2021-1-17,2329676,11816
2021-1-18,2339272,9596
2021-1-19,2350428,11156
2021-1-20,2362512,12084
2021-1-21,2381783,19271
2021-1-22,2395142,13359
2021-1-23,2409727,14585
2021-1-24,2419035,9308
2021-1-25,2427440,8405
2021-1-26,2436985,9545
2021-1-27,2445386,8401
2021-1-28,2456188,10802
2021-1-29,2468681,12493
2021-1-30,2479193,10512
2021-1-31,2488049,8856
2021-2-1,2496070,8021
2021-2-2,2503320,7250
2021-2-3,2511160,7840
2021-2-4,2522551,11391
2021-2-5,2531886,9335
2021-2-6,2542294,10408
2021-2-7,2550066,7772
2021-2-8,2557768,7702
2021-2-9,2563980,6212
2021-2-10,2572945,8965
2021-2-11,2582839,9894
2021-2-12,2590646,7807
2021-2-13,2604210,13564
2021-2-14,2612420,8210
2021-2-15,2618806,6386
2021-2-16,2626777,7971
2021-2-17,2634991,8214
2021-2-18,2642893,7902
2021-2-19,2650086,7193
2021-2-20,2656833,6747
2021-2-21,2662867,6034
2021-2-22,2667800,4933
2021-2-23,2678249,10449
2021-2-24,2686592,8343
2021-2-25,2696649,10057
2021-2-26,2702912,6263
2021-2-27,2712509,9597
2021-2-28,2719219,6710
2021-3-1,2725701,6482
2021-3-2,2729627,3926
2021-3-3,2738065,8438
2021-3-4,2746308,8243
2021-3-5,2754332,8024
2021-3-6,2763991,9659
2021-3-7,2770192,6201
