Date,MODATA.TotalTestResults,MODATA.TotalTestResultsInc
2021-2-4,4203201,17560
2021-2-5,4223347,20146
2021-2-6,4237855,14508
2021-2-7,4249531,11676
2021-2-8,4256838,7307
2021-2-9,4265085,8247
2021-2-10,4276558,11473
2021-2-11,4294645,18087
2021-2-12,4311062,16417
2021-2-13,4321174,10112
2021-2-14,4331743,10569
2021-2-15,4338009,6266
2021-2-16,4343306,5297
2021-2-17,4350392,7086
2021-2-18,4359840,9448
2021-2-19,4373021,13181
2021-2-20,4384973,11952
2021-2-21,4395885,10912
2021-2-22,4403835,7950
2021-2-23,4411010,7175
2021-2-24,4422930,11920
2021-2-25,4445341,22411
2021-2-26,4459175,13834
2021-2-27,4472822,13647
2021-2-28,4482293,9471
2021-3-1,4490001,7708
2021-3-2,4497905,7904
2021-3-3,4508176,10271
2021-3-4,4524474,16298
2021-3-5,4541067,16593
2021-3-6,4555207,14140
2021-3-7,4565866,10659
