Date,GADATA.TotalTestResults,GADATA.TotalTestResultsInc
2020-12-27,5233528,15054
2020-12-28,5248593,15065
2020-12-29,5281282,32689
2020-12-30,5304793,23511
2020-12-31,5349390,44597
2021-1-1,5401054,51664
2021-1-2,5436988,35934
2021-1-3,5462241,25253
2021-1-4,5482790,20549
2021-1-5,5509880,27090
2021-1-6,5523221,13341
2021-1-7,5569613,46392
2021-1-8,5583994,14381
2021-1-9,5632471,48477
2021-1-10,5672290,39819
2021-1-11,5708060,35770
2021-1-12,5737862,29802
2021-1-13,5763974,26112
2021-1-14,5801007,37033
2021-1-15,5844021,43014
2021-1-16,5887700,43679
2021-1-17,5925441,37741
2021-1-18,5957306,31865
2021-1-19,5988737,31431
2021-1-20,6033197,44460
2021-1-21,6072614,39417
2021-1-22,6122066,49452
2021-1-23,6174470,52404
2021-1-24,6208860,34390
2021-1-25,6234896,26036
2021-1-26,6271545,36649
2021-1-27,6296044,24499
2021-1-28,6338228,42184
2021-1-29,6378542,40314
2021-1-30,6425042,46500
2021-1-31,6452746,27704
2021-2-1,6474133,21387
2021-2-2,6494048,19915
2021-2-3,6524223,30175
2021-2-4,6561635,37412
2021-2-5,6597050,35415
2021-2-6,6628577,31527
2021-2-7,6664276,35699
2021-2-8,6687452,23176
2021-2-9,6711587,24135
2021-2-10,6734381,22794
2021-2-11,6765890,31509
2021-2-12,6792960,27070
2021-2-13,6828948,35988
2021-2-14,6853061,24113
2021-2-15,6870677,17616
2021-2-16,6895381,24704
2021-2-17,6914772,19391
2021-2-18,6963712,48940
2021-2-19,6988224,24512
2021-2-20,7019510,31286
2021-2-21,7042229,22719
2021-2-22,7057282,15053
2021-2-23,7076399,19117
2021-2-24,7096779,20380
2021-2-25,7125751,28972
2021-2-26,7153524,27773
2021-2-27,7181994,28470
2021-2-28,7201974,19980
2021-3-1,7215169,13195
2021-3-2,7234444,19275
2021-3-3,7251427,16983
2021-3-4,7279616,28189
2021-3-5,7315477,35861
2021-3-6,7340242,24765
2021-3-7,7359069,18827
