Date,WIDATA.TotalTestResults,WIDATA.TotalTestResultsInc
2021-2-23,6709759,16989
2021-2-24,6737019,27260
2021-2-25,6825405,88386
2021-2-26,6860518,35113
2021-2-27,6886832,26314
2021-2-28,6906878,20046
2021-3-1,6921918,15040
2021-3-2,6938594,16676
2021-3-3,6970553,31959
2021-3-4,7008539,37986
2021-3-5,7037081,28542
2021-3-6,7061402,24321
2021-3-7,7080595,19193
