Date,LADATA.TotalTestResults,LADATA.TotalTestResultsInc
2020-12-29,4142108,33944
2020-12-30,4184768,42660
2020-12-31,4214182,29414
2021-1-1,4214182,0
2021-1-2,4214182,0
2021-1-3,4256466,42284
2021-1-4,4265759,9293
2021-1-5,4307755,41996
2021-1-6,4334992,27237
2021-1-7,4369449,34457
2021-1-8,4399258,29809
2021-1-9,4399258,0
2021-1-10,4445919,46661
2021-1-11,4458747,12828
2021-1-12,4508788,50041
2021-1-13,4527858,19070
2021-1-14,4563949,36091
2021-1-15,4593428,29479
2021-1-16,4593428,0
2021-1-17,4638346,44918
2021-1-18,4648497,10151
2021-1-19,4673947,25450
2021-1-20,4705481,31534
2021-1-21,4748890,43409
2021-1-22,4775952,27062
2021-1-23,4775952,0
2021-1-24,4815570,39618
2021-1-25,4842656,27086
2021-1-26,4873912,31256
2021-1-27,4908042,34130
2021-1-28,4938784,30742
2021-1-29,4964052,25268
2021-1-30,4964052,0
2021-1-31,5007448,43396
2021-2-1,5018961,11513
2021-2-2,5062438,43477
2021-2-3,5089529,27091
2021-2-4,5121022,31493
2021-2-5,5139629,18607
2021-2-6,5139629,0
2021-2-7,5174839,35210
2021-2-8,5196757,21918
2021-2-9,5224528,27771
2021-2-10,5235390,10862
2021-2-11,5277162,41772
2021-2-12,5306282,29120
2021-2-13,5306282,0
2021-2-14,5338034,31752
2021-2-15,5345798,7764
2021-2-16,5345798,0
2021-2-17,5367092,21294
2021-2-18,5378269,11177
2021-2-19,5390130,11861
2021-2-20,5390130,0
2021-2-21,5416687,26557
2021-2-22,5423943,7256
2021-2-23,5446167,22224
2021-2-24,5467897,21730
2021-2-25,5521097,53200
2021-2-26,5544678,23581
2021-2-27,5544678,0
2021-2-28,5577167,32489
2021-3-1,5585504,8337
2021-3-2,5608696,23192
2021-3-3,5630195,21499
2021-3-4,5654985,24790
2021-3-5,5674146,19161
2021-3-6,5674146,0
2021-3-7,5695464,21318
