Date,OKDATA.TotalTestResults,OKDATA.TotalTestResultsInc
2020-12-21,2462182,2596
2020-12-22,2516937,54755
2020-12-23,2543255,26318
2020-12-24,2568884,25629
2020-12-25,2587225,18341
2020-12-26,2591180,3955
2020-12-27,2593811,2631
2020-12-28,2597259,3448
2020-12-29,2619690,22431
2020-12-30,2649374,29684
2020-12-31,2668245,18871
2021-1-1,2685254,17009
2021-1-2,2690373,5119
2021-1-3,2698390,8017
2021-1-4,2701089,2699
2021-1-5,2738033,36944
2021-1-6,2758923,20890
2021-1-7,2778295,19372
2021-1-8,2797914,19619
2021-1-9,2824791,26877
2021-1-10,2831278,6487
2021-1-11,2835163,3885
2021-1-12,2864080,28917
2021-1-13,2889390,25310
2021-1-14,2908367,18977
2021-1-15,2937452,29085
2021-1-16,2952665,15213
2021-1-17,2955979,3314
2021-1-18,2957816,1837
2021-1-19,2959374,1558
2021-1-20,3002435,43061
2021-1-21,3016648,14213
2021-1-22,3040353,23705
2021-1-23,3060863,20510
2021-1-24,3063804,2941
2021-1-25,3065567,1763
2021-1-26,3093132,27565
2021-1-27,3115197,22065
2021-1-28,3131910,16713
2021-1-29,3157187,25277
2021-1-30,3181931,24744
2021-1-31,3184813,2882
2021-2-1,3186209,1396
2021-2-2,3214634,28425
2021-2-3,3233272,18638
2021-2-4,3251504,18232
2021-2-5,3266144,14640
2021-2-6,3291315,25171
2021-2-7,3293489,2174
2021-2-8,3294529,1040
2021-2-9,3309116,14587
2021-2-10,3327080,17964
2021-2-11,3343704,16624
2021-2-12,3358452,14748
2021-2-13,3369881,11429
2021-2-14,3371147,1266
2021-2-15,3371877,730
2021-2-16,3372385,508
2021-2-17,3400501,28116
2021-2-18,3403661,3160
2021-2-19,3409599,5938
2021-2-20,3414513,4914
2021-2-21,3415549,1036
2021-2-22,3416048,499
2021-2-23,3430090,14042
2021-2-24,3445441,15351
2021-2-25,3456445,11004
2021-2-26,3501011,44566
2021-2-27,3508631,7620
2021-2-28,3509337,706
2021-3-1,3509717,380
2021-3-2,3525279,15562
2021-3-3,3542049,16770
2021-3-4,3553402,11353
2021-3-5,3562618,9216
2021-3-6,3574836,12218
2021-3-7,3575297,461
