Date,SDDATA.TotalTestResults,SDDATA.TotalTestResultsInc
2020-12-27,588607,910
2020-12-28,589542,935
2020-12-29,590458,916
2020-12-30,592654,2196
2020-12-31,594876,2222
2021-1-1,597286,2410
2021-1-2,599967,2681
2021-1-3,601226,1259
2021-1-4,602460,1234
2021-1-5,603392,932
2021-1-6,605714,2322
2021-1-7,607942,2228
2021-1-8,610790,2848
2021-1-9,613696,2906
2021-1-10,615506,1810
2021-1-11,617105,1599
2021-1-12,617976,871
2021-1-13,620320,2344
2021-1-14,622598,2278
2021-1-15,625111,2513
2021-1-16,627435,2324
2021-1-17,629331,1896
2021-1-18,630680,1349
2021-1-19,631474,794
2021-1-20,632612,1138
2021-1-21,634822,2210
2021-1-22,636973,2151
2021-1-23,638880,1907
2021-1-24,640773,1893
2021-1-25,641868,1095
2021-1-26,642553,685
2021-1-27,644138,1585
2021-1-28,645559,1421
2021-1-29,647736,2177
2021-1-30,649393,1657
2021-1-31,651113,1720
2021-2-1,652087,974
2021-2-2,652680,593
2021-2-3,654279,1599
2021-2-4,655982,1703
2021-2-5,658020,2038
2021-2-6,659546,1526
2021-2-7,660930,1384
2021-2-8,661963,1033
2021-2-9,662596,633
2021-2-10,664127,1531
2021-2-11,667167,3040
2021-2-12,669812,2645
2021-2-13,671475,1663
2021-2-14,672958,1483
2021-2-15,673876,918
2021-2-16,674483,607
2021-2-17,675610,1127
2021-2-18,677153,1543
2021-2-19,678808,1655
2021-2-20,680703,1895
2021-2-21,682181,1478
2021-2-22,682648,467
2021-2-23,682960,312
2021-2-24,685063,2103
2021-2-25,686758,1695
2021-2-26,688675,1917
2021-2-27,690339,1664
2021-2-28,691692,1353
2021-3-1,692321,629
2021-3-2,692858,537
2021-3-3,694883,2025
2021-3-4,696656,1773
2021-3-5,698456,1800
2021-3-6,700649,2193
2021-3-7,701924,1275
