Date,DEDATA.TotalTestResults,DEDATA.TotalTestResultsInc
2021-2-2,1243589,6669
2021-2-3,1249291,5702
2021-2-4,1250852,1561
2021-2-5,1253654,2802
2021-2-6,1260655,7001
2021-2-7,1269888,9233
2021-2-8,1278028,8140
2021-2-9,1285813,7785
2021-2-10,1289283,3470
2021-2-11,1293220,3937
2021-2-12,1300275,7055
2021-2-13,1309388,9113
2021-2-14,1319220,9832
2021-2-15,1323091,3871
2021-2-16,1327849,4758
2021-2-17,1333004,5155
2021-2-18,1335597,2593
2021-2-19,1341919,6322
2021-2-20,1348654,6735
2021-2-21,1356971,8317
2021-2-22,1359259,2288
2021-2-23,1363675,4416
2021-2-24,1368734,5059
2021-2-25,1371551,2817
2021-2-26,1377802,6251
2021-2-27,1387364,9562
2021-2-28,1395584,8220
2021-3-1,1400454,4870
2021-3-2,1405303,4849
2021-3-3,1409916,4613
2021-3-4,1413640,3724
2021-3-5,1417318,3678
2021-3-6,1426075,8757
2021-3-7,1431942,5867
