Date,OHDATA.TotalTestResults,OHDATA.TotalTestResultsInc
2020-12-23,7352464,31337
2020-12-24,7409870,57406
2020-12-25,7472240,62370
2020-12-26,7521814,49574
2020-12-27,7551957,30143
2020-12-28,7580749,28792
2020-12-29,7601078,20329
2020-12-30,7625641,24563
2020-12-31,7682584,56943
2021-1-1,7745920,63336
2021-1-2,7795210,49290
2021-1-3,7831810,36600
2021-1-4,7862631,30821
2021-1-5,7882683,20052
2021-1-6,7908645,25962
2021-1-7,7963321,54676
2021-1-8,8033268,69947
2021-1-9,8092160,58892
2021-1-10,8145652,53492
2021-1-11,8186142,40490
2021-1-12,8225635,39493
2021-1-13,8250980,25345
2021-1-14,8304981,54001
2021-1-15,8368521,63540
2021-1-16,8431240,62719
2021-1-17,8478037,46797
2021-1-18,8515645,37608
2021-1-19,8554113,38468
2021-1-20,8576460,22347
2021-1-21,8622872,46412
2021-1-22,8682631,59759
2021-1-23,8738557,55926
2021-1-24,8777871,39314
2021-1-25,8814234,36363
2021-1-26,8850736,36502
2021-1-27,8872864,22128
2021-1-28,8921429,48565
2021-1-29,8982880,61451
2021-1-30,9033143,50263
2021-1-31,9074070,40927
2021-2-1,9104857,30787
2021-2-2,9146476,41619
2021-2-3,9165199,18723
2021-2-4,9213673,48474
2021-2-5,9265442,51769
2021-2-6,9311397,45955
2021-2-7,9347896,36499
2021-2-8,9374405,26509
2021-2-9,9407146,32741
2021-2-10,9426763,19617
2021-2-11,9469638,42875
2021-2-12,9524660,55022
2021-2-13,9559780,35120
2021-2-14,9587475,27695
2021-2-15,9619261,31786
2021-2-16,9654714,35453
2021-2-17,9671588,16874
2021-2-18,9691429,19841
2021-2-19,9723498,32069
2021-2-20,9750755,27257
2021-2-21,9781894,31139
2021-2-22,9805398,23504
2021-2-23,9830863,25465
2021-2-24,9849578,18715
2021-2-25,9894516,44938
2021-2-26,9940287,45771
2021-2-27,9994327,54040
2021-2-28,10030523,36196
2021-3-1,10056602,26079
2021-3-2,10084481,27879
2021-3-3,10101222,16741
2021-3-4,10144547,43325
2021-3-5,10187678,43131
2021-3-6,10227868,40190
2021-3-7,10257157,29289
