Date,MTDATA.TotalTestResults,MTDATA.TotalTestResultsInc
2021-1-17,879728,4785
2021-1-18,881412,1684
2021-1-19,883672,2260
2021-1-20,887884,4212
2021-1-21,892770,4886
2021-1-22,899769,6999
2021-1-23,906753,6984
2021-1-24,911686,4933
2021-1-25,920116,8430
2021-1-26,922956,2840
2021-1-27,927981,5025
2021-1-28,936928,8947
2021-1-29,942390,5462
2021-1-30,950743,8353
2021-1-31,954249,3506
2021-2-1,956718,2469
2021-2-2,960130,3412
2021-2-3,968115,7985
2021-2-4,974723,6608
2021-2-5,981178,6455
2021-2-6,986635,5457
2021-2-7,988597,1962
2021-2-8,992938,4341
2021-2-9,997279,4341
2021-2-10,1001074,3795
2021-2-11,1007629,6555
2021-2-12,1012245,4616
2021-2-13,1017979,5734
2021-2-14,1021061,3082
2021-2-15,1023984,2923
2021-2-16,1025367,1383
2021-2-17,1029320,3953
2021-2-18,1035440,6120
2021-2-19,1040344,4904
2021-2-20,1045673,5329
2021-2-21,1048901,3228
2021-2-22,1050392,1491
2021-2-23,1052733,2341
2021-2-24,1056170,3437
2021-2-25,1063419,7249
2021-2-26,1069964,6545
2021-2-27,1074437,4473
2021-2-28,1077988,3551
2021-3-1,1079671,1683
2021-3-2,1081562,1891
2021-3-3,1086548,4986
2021-3-4,1091522,4974
2021-3-5,1096913,5391
2021-3-6,1101356,4443
2021-3-7,1104488,3132
