Date,ORDATA.TotalTestResults,ORDATA.TotalTestResultsInc
2021-2-15,3384703,0
2021-2-16,3384703,0
2021-2-17,3419985,35282
2021-2-18,3431911,11926
2021-2-19,3449326,17415
2021-2-20,3465787,16461
2021-2-21,3465787,0
2021-2-22,3465787,0
2021-2-23,3498165,32378
2021-2-24,3510691,12526
2021-2-25,3526219,15528
2021-2-26,3546317,20098
2021-2-27,3564120,17803
2021-2-28,3564120,0
2021-3-1,3564120,0
2021-3-2,3748444,184324
2021-3-3,3760400,11956
2021-3-4,3787438,27038
2021-3-5,3798067,10629
2021-3-6,3850973,52906
2021-3-7,3850973,0
