Date,NCDATA.TotalTestResults,NCDATA.TotalTestResultsInc
2021-2-4,8510848,58946
2021-2-5,8571543,60695
2021-2-6,8626106,54563
2021-2-7,8679100,52994
2021-2-8,8719552,40452
2021-2-9,8743793,24241
2021-2-10,8773463,29670
2021-2-11,8829215,55752
2021-2-12,8889330,60115
2021-2-13,8936233,46903
2021-2-14,8982818,46585
2021-2-15,9014446,31628
2021-2-16,9036318,21872
2021-2-17,9058420,22102
2021-2-18,9105676,47256
2021-2-19,9149998,44322
2021-2-20,9191745,41747
2021-2-21,9226700,34955
2021-2-22,9262399,35699
2021-2-23,9283137,20738
2021-2-24,9310743,27606
2021-2-25,9361775,51032
2021-2-26,9422466,60691
2021-2-27,9463409,40943
2021-2-28,9499985,36576
2021-3-1,9525274,25289
2021-3-2,9541671,16397
2021-3-3,9561647,19976
2021-3-4,9605697,44050
2021-3-5,9650184,44487
2021-3-6,9688838,38654
2021-3-7,9688838,0
