Date,MDDATA.TotalTestResults,MDDATA.TotalTestResultsInc
2020-12-16,5131430,36858
2020-12-17,5160976,29546
2020-12-18,5205154,44178
2020-12-19,5241559,36405
2020-12-20,5284171,42612
2020-12-21,5324491,40320
2020-12-22,5380189,55698
2020-12-23,5419999,39810
2020-12-24,5465868,45869
2020-12-25,5507948,42080
2020-12-26,5546035,38087
2020-12-27,5572763,26728
2020-12-28,5611691,38928
2020-12-29,5632401,20710
2020-12-30,5672680,40279
2020-12-31,5708030,35350
2021-1-1,5761534,53504
2021-1-2,5807666,46132
2021-1-3,5834126,26460
2021-1-4,5869617,35491
2021-1-5,5894499,24882
2021-1-6,5932780,38281
2021-1-7,5972432,39652
2021-1-8,6029482,57050
2021-1-9,6085068,55586
2021-1-10,6145245,60177
2021-1-11,6188765,43520
2021-1-12,6220019,31254
2021-1-13,6254353,34334
2021-1-14,6298178,43825
2021-1-15,6352475,54297
2021-1-16,6408323,55848
2021-1-17,6455048,46725
2021-1-18,6480786,25738
2021-1-19,6510156,29370
2021-1-20,6541052,30896
2021-1-21,6578575,37523
2021-1-22,6630564,51989
2021-1-23,6678255,47691
2021-1-24,6723502,45247
2021-1-25,6758236,34734
2021-1-26,6784162,25926
2021-1-27,6819049,34887
2021-1-28,6865525,46476
2021-1-29,6918308,52783
2021-1-30,6966924,48616
2021-1-31,7013154,46230
2021-2-1,7038562,25408
2021-2-2,7052264,13702
2021-2-3,7066871,14607
2021-2-4,7102358,35487
2021-2-5,7144618,42260
2021-2-6,7188638,44020
2021-2-7,7237247,48609
2021-2-8,7260091,22844
2021-2-9,7274451,14360
2021-2-10,7304817,30366
2021-2-11,7344008,39191
2021-2-12,7388614,44606
2021-2-13,7429742,41128
2021-2-14,7466180,36438
2021-2-15,7485941,19761
2021-2-16,7495908,9967
2021-2-17,7519063,23155
2021-2-18,7555013,35950
2021-2-19,7597220,42207
2021-2-20,7622654,25434
2021-2-21,7654818,32164
2021-2-22,7677006,22188
2021-2-23,7689541,12535
2021-2-24,7718790,29249
2021-2-25,7755974,37184
2021-2-26,7804095,48121
2021-2-27,7848245,44150
2021-2-28,7887028,38783
2021-3-1,7906291,19263
2021-3-2,7917331,11040
2021-3-3,7948627,31296
2021-3-4,7982350,33723
2021-3-5,8024078,41728
2021-3-6,8064462,40384
2021-3-7,8097590,33128
