Date,UTDATA.TotalTestResults,UTDATA.TotalTestResultsInc
2021-2-6,2668996,10924
2021-2-7,2677079,8083
2021-2-8,2683416,6337
2021-2-9,2688842,5426
2021-2-10,2700294,11452
2021-2-11,2712198,11904
2021-2-12,2723333,11135
2021-2-13,2732808,9475
2021-2-14,2739498,6690
2021-2-15,2745234,5736
2021-2-16,2750915,5681
2021-2-17,2760128,9213
2021-2-18,2772120,11992
2021-2-19,2780070,7950
2021-2-20,2788882,8812
2021-2-21,2796344,7462
2021-2-22,2801118,4774
2021-2-23,2809360,8242
2021-2-24,2819300,9940
2021-2-25,2829905,10605
2021-2-26,2838991,9086
2021-2-27,2847706,8715
2021-2-28,2853915,6209
2021-3-1,2859188,5273
2021-3-2,2865473,6285
2021-3-3,2876176,10703
2021-3-4,2886369,10193
2021-3-5,2895082,8713
2021-3-6,2903293,8211
2021-3-7,2910121,6828
