Date,USDATA.Cases,USDATA.Deaths
2020-07-29,71832.0,151635.0
2020-07-30,67599.0,152851.0
2020-07-31,67911.0,154093.0
2020-08-01,57836.0,155202.0
2020-08-02,46272.0,155613.0
2020-08-03,44567.0,156152.0
2020-08-04,57283.0,157526.0
2020-08-05,54433.0,158902.0
2020-08-06,59481.0,160150.0
2020-08-07,58322.0,161388.0
2020-08-08,54448.0,162470.0
2020-08-09,46370.0,162986.0
2020-08-10,48733.0,163513.0
2020-08-11,46925.0,164581.0
2020-08-12,56796.0,166087.0
2020-08-13,51742.0,167151.0
2020-08-14,64764.0,168494.0
2020-08-15,46776.0,169524.0
2020-08-16,41181.0,170099.0
2020-08-17,36517.0,170545.0
2020-08-18,45037.0,171876.0
2020-08-19,47371.0,173207.0
2020-08-20,44087.0,174285.0
2020-08-21,48253.0,175396.0
2020-08-22,43653.0,176380.0
2020-08-23,34457.0,176835.0
2020-08-24,36485.0,177279.0
2020-08-25,39979.0,178509.0
2020-08-26,45520.0,179737.0
2020-08-27,45120.0,180841.0
2020-08-28,46929.0,181813.0
2020-08-29,45354.0,182777.0
2020-08-30,34787.0,183089.0
2020-08-31,35198.0,183684.0
2020-09-01,41677.0,184749.0
2020-09-02,40951.0,185801.0
2020-09-03,43781.0,186868.0
2020-09-04,50129.0,187838.0
2020-09-05,43140.0,188609.0
2020-09-06,31511.0,189019.0
2020-09-07,23545.0,189295.0
2020-09-08,26897.0,189741.0
2020-09-09,33895.0,190923.0
2020-09-10,36066.0,191830.0
2020-09-11,47439.0,193043.0
2020-09-12,40975.0,193753.0
2020-09-13,34305.0,194139.0
2020-09-14,33870.0,194563.0
2020-09-15,39385.0,195851.0
2020-09-16,38460.0,196838.0
2020-09-17,44922.0,197704.0
2020-09-18,48750.0,198634.0
2020-09-19,42469.0,199349.0
2020-09-20,38444.0,199590.0
2020-09-21,51538.0,200015.0
2020-09-22,39482.0,201038.0
2020-09-23,38581.0,202140.0
2020-09-24,45710.0,203057.0
2020-09-25,48077.0,203996.0
2020-09-26,44303.0,204742.0
2020-09-27,37280.0,205024.0
2020-09-28,32248.0,205345.0
2020-09-29,42796.0,206257.0
2020-09-30,41196.0,207199.0
2020-10-01,45295.0,208050.0
2020-10-02,54402.0,208978.0
2020-10-03,48674.0,209657.0
2020-10-04,36092.0,210006.0
2020-10-05,38917.0,210468.0
2020-10-06,43949.0,211170.0
2020-10-07,50641.0,212100.0
2020-10-08,58329.0,213064.0
2020-10-09,55994.0,214029.0
2020-10-10,54007.0,214656.0
2020-10-11,45834.0,215078.0
2020-10-12,40704.0,215415.0
2020-10-13,52879.0,216212.0
2020-10-14,59473.0,217213.0
2020-10-15,64358.0,218031.0
2020-10-16,68449.0,218936.0
2020-10-17,56875.0,219681.0
2020-10-18,49296.0,220109.0
2020-10-19,67006.0,220576.0
2020-10-20,61088.0,221510.0
2020-10-21,63026.0,222665.0
2020-10-22,75335.0,223515.0
2020-10-23,80987.0,224466.0
2020-10-24,82787.0,225402.0
2020-10-25,61761.0,225780.0
2020-10-26,66579.0,226272.0
2020-10-27,76001.0,227240.0
2020-10-28,78684.0,228247.0
2020-10-29,90168.0,229214.0
2020-10-30,98519.0,230242.0
2020-10-31,88884.0,231127.0
2020-11-01,75562.0,231535.0
2020-11-02,83484.0,232067.0
2020-11-03,124618.0,233638.0
2020-11-04,102873.0,234728.0
2020-11-05,126190.0,235878.0
2020-11-06,125708.0,237073.0
2020-11-07,128000.0,238081.0
2020-11-08,109906.0,238554.0
2020-11-09,121366.0,239242.0
2020-11-10,137694.0,240623.0
2020-11-11,143548.0,242036.0
2020-11-12,161248.0,243245.0
2020-11-13,177568.0,244403.0
2020-11-14,166709.0,245663.0
2020-11-15,135785.0,246290.0
2020-11-16,157766.0,247024.0
2020-11-17,160515.0,248716.0
2020-11-18,170401.0,250613.0
2020-11-19,187963.0,252600.0
2020-11-20,196010.0,254517.0
2020-11-21,178073.0,255946.0
2020-11-22,142734.0,256866.0
2020-11-23,171462.0,257779.0
2020-11-24,172935.0,259925.0
2020-11-25,181490.0,262222.0
2020-11-26,110611.0,263454.0
2020-11-27,205557.0,264858.0
2020-11-28,155596.0,266047.0
2020-11-29,138903.0,266873.0
2020-11-30,157901.0,268045.0
