Date,NEDATA.Death,NEDATA.DeathIncrease
2021-1-15,1818,15
2021-1-16,1837,19
2021-1-17,1837,0
2021-1-18,1837,0
2021-1-19,1842,5
2021-1-20,1850,8
2021-1-21,1862,12
2021-1-22,1868,6
2021-1-23,1878,10
2021-1-24,1879,1
2021-1-25,1879,0
2021-1-26,1894,15
2021-1-27,1905,11
2021-1-28,1917,12
2021-1-29,1921,4
2021-1-30,1920,0
2021-1-31,1920,0
2021-2-1,1920,0
2021-2-2,1929,9
2021-2-3,1931,2
2021-2-4,1952,21
2021-2-5,1958,6
2021-2-6,1968,10
2021-2-7,1968,0
2021-2-8,1968,0
2021-2-9,1978,10
2021-2-10,1986,8
2021-2-11,1990,4
2021-2-12,2002,12
2021-2-13,2002,0
2021-2-14,2002,0
2021-2-15,2003,1
2021-2-16,2004,1
2021-2-17,2018,14
2021-2-18,2025,7
2021-2-19,2043,18
2021-2-20,2047,4
2021-2-21,2047,0
2021-2-22,2047,0
2021-2-23,2050,3
2021-2-24,2054,4
2021-2-25,2063,9
2021-2-26,2078,15
2021-2-27,2082,4
2021-2-28,2082,0
2021-3-1,2082,0
2021-3-2,2084,2
2021-3-3,2091,7
2021-3-4,2092,1
2021-3-5,2112,20
2021-3-6,2113,1
2021-3-7,2113,0
