Date,MNDATA.Death,MNDATA.DeathConfirmed
2020-6-9,1228,1217
2020-6-10,1267,1236
2020-6-11,1280,1249
2020-6-12,1305,1274
2020-6-13,1314,1283
2020-6-14,1329,1298
2020-6-15,1335,1304
2020-6-16,1344,1313
2020-6-17,1357,1325
2020-6-18,1376,1344
2020-6-19,1393,1361
2020-6-20,1404,1372
2020-6-21,1412,1380
2020-6-22,1416,1384
2020-6-23,1425,1393
2020-6-24,1432,1397
2020-6-25,1441,1406
2020-6-26,1446,1411
2020-6-27,1452,1417
2020-6-28,1460,1425
2020-6-29,1470,1435
2020-6-30,1476,1441
2020-7-1,1482,1445
2020-7-2,1495,1458
2020-7-3,1503,1466
2020-7-4,1503,1466
2020-7-5,1508,1471
2020-7-6,1511,1474
2020-7-7,1514,1477
2020-7-8,1523,1485
2020-7-9,1528,1490
2020-7-10,1533,1495
2020-7-11,1537,1499
2020-7-12,1540,1502
2020-7-13,1542,1504
2020-7-14,1548,1510
2020-7-15,1558,1518
2020-7-16,1566,1526
2020-7-17,1573,1533
2020-7-18,1578,1538
2020-7-19,1581,1541
2020-7-20,1585,1545
2020-7-21,1588,1548
2020-7-22,1592,1552
2020-7-23,1601,1561
2020-7-24,1606,1566
2020-7-25,1611,1571
2020-7-26,1614,1574
2020-7-27,1616,1576
2020-7-28,1620,1580
2020-7-29,1629,1589
2020-7-30,1634,1594
2020-7-31,1640,1600
2020-8-1,1646,1606
2020-8-2,1654,1614
2020-8-3,1656,1616
2020-8-4,1660,1620
2020-8-5,1670,1629
2020-8-6,1677,1636
2020-8-7,1681,1640
2020-8-8,1689,1648
2020-8-9,1698,1657
2020-8-10,1701,1660
2020-8-11,1707,1666
2020-8-12,1724,1678
2020-8-13,1731,1685
2020-8-14,1739,1693
2020-8-15,1745,1699
2020-8-16,1752,1706
2020-8-17,1758,1712
2020-8-18,1767,1721
2020-8-19,1784,1738
2020-8-20,1791,1745
2020-8-21,1799,1753
2020-8-22,1807,1761
2020-8-23,1813,1767
2020-8-24,1817,1771
2020-8-25,1825,1779
2020-8-26,1842,1793
2020-8-27,1855,1806
2020-8-28,1859,1810
2020-8-29,1863,1814
2020-8-30,1865,1816
2020-8-31,1866,1817
2020-9-1,1872,1823
2020-9-2,1882,1830
2020-9-3,1889,1837
2020-9-4,1899,1847
2020-9-5,1903,1851
2020-9-6,1909,1857
2020-9-7,1912,1860
2020-9-8,1914,1862
2020-9-9,1921,1869
2020-9-10,1936,1884
2020-9-11,1949,1897
2020-9-12,1958,1906
2020-9-13,1971,1919
2020-9-14,1974,1922
2020-9-15,1979,1927
2020-9-16,1985,1933
2020-9-17,1994,1942
2020-9-18,2002,1950
2020-9-19,2015,1963
2020-9-20,2017,1965
2020-9-21,2021,1969
2020-9-22,2031,1979
2020-9-23,2037,1985
2020-9-24,2040,1988
2020-9-25,2046,1994
2020-9-26,2056,2004
2020-9-27,2060,2008
2020-9-28,2067,2015
2020-9-29,2072,2020
2020-9-30,2089,2036
2020-10-1,2102,2049
2020-10-2,2112,2059
2020-10-3,2126,2073
2020-10-4,2133,2080
2020-10-5,2136,2083
2020-10-6,2140,2087
2020-10-7,2154,2101
2020-10-8,2160,2107
2020-10-9,2174,2121
2020-10-10,2184,2131
2020-10-11,2194,2141
2020-10-12,2197,2144
2020-10-13,2204,2151
2020-10-14,2180,2174
2020-10-15,2199,2192
2020-10-16,2212,2203
2020-10-17,2217,2208
2020-10-18,2234,2224
2020-10-19,2239,2229
2020-10-20,2246,2235
2020-10-21,2281,2269
2020-10-22,2301,2289
2020-10-23,2314,2302
2020-10-24,2328,2316
2020-10-25,2349,2335
2020-10-26,2353,2339
2020-10-27,2368,2354
2020-10-28,2387,2373
2020-10-29,2419,2404
2020-10-30,2437,2420
