Date,VADATA.Death,VADATA.DeathConfirmed
2020-9-8,2686,2553
2020-9-9,2697,2564
2020-9-10,2708,2575
2020-9-11,2711,2578
2020-9-12,2722,2589
2020-9-13,2724,2591
2020-9-14,2743,2607
2020-9-15,2839,2691
2020-9-16,2884,2711
2020-9-17,2920,2734
2020-9-18,2949,2755
2020-9-19,2990,2787
2020-9-20,3015,2811
2020-9-21,3021,2816
2020-9-22,3060,2853
2020-9-23,3089,2882
2020-9-24,3113,2907
2020-9-25,3136,2930
2020-9-26,3144,2937
2020-9-27,3159,2951
2020-9-28,3172,2962
2020-9-29,3187,2976
2020-9-30,3208,2995
2020-10-1,3228,3015
2020-10-2,3250,3037
2020-10-3,3270,3057
2020-10-4,3273,3060
2020-10-5,3276,3063
2020-10-6,3291,3077
2020-10-7,3303,3088
2020-10-8,3328,3097
2020-10-9,3344,3110
2020-10-10,3354,3116
2020-10-11,3358,3120
2020-10-12,3361,3122
2020-10-13,3372,3132
2020-10-14,3381,3141
2020-10-15,3388,3149
2020-10-16,3408,3161
2020-10-17,3422,3175
2020-10-18,3433,3186
2020-10-19,3457,3209
2020-10-20,3485,3236
2020-10-21,3515,3266
2020-10-22,3524,3274
2020-10-23,3539,3293
2020-10-24,3578,3328
2020-10-25,3579,3329
2020-10-26,3581,3331
2020-10-27,3600,3350
2020-10-28,3616,3364
2020-10-29,3636,3384
