Date,OKDATA.Hosp,OKDATA.HospCum
2021-1-14,19460,19460
2021-1-15,19616,19616
2021-1-16,19806,19806
2021-1-17,20036,20036
2021-1-18,20063,20063
2021-1-19,20095,20095
2021-1-20,20295,20295
2021-1-21,20505,20505
2021-1-22,20692,20692
2021-1-23,20849,20849
2021-1-24,21020,21020
2021-1-25,21053,21053
2021-1-26,21093,21093
2021-1-27,21314,21314
2021-1-28,21478,21478
2021-1-29,21620,21620
2021-1-30,21768,21768
2021-1-31,21921,21921
2021-2-1,21957,21957
2021-2-2,21996,21996
2021-2-3,22167,22167
2021-2-4,22317,22317
2021-2-5,22453,22453
2021-2-6,22593,22593
2021-2-7,22751,22751
2021-2-8,22774,22774
2021-2-9,22789,22789
2021-2-10,22930,22930
2021-2-11,23020,23020
2021-2-12,23085,23085
2021-2-13,23150,23150
2021-2-14,23248,23248
2021-2-15,23256,23256
2021-2-16,23270,23270
2021-2-17,23392,23392
2021-2-18,23464,23464
2021-2-19,23537,23537
2021-2-20,23606,23606
2021-2-21,23667,23667
2021-2-22,23684,23684
2021-2-23,23700,23700
2021-2-24,23768,23768
2021-2-25,23813,23813
2021-2-26,23879,23879
2021-2-27,23909,23909
2021-2-28,23985,23985
2021-3-1,23995,23995
2021-3-2,23999,23999
2021-3-3,24064,24064
2021-3-4,24103,24103
2021-3-5,24157,24157
2021-3-6,24277,24277
2021-3-7,24332,24332
