Date,NJDATA.Hosp,NJDATA.HospCum
2021-2-13,62347,62347
2021-2-14,62406,62406
2021-2-15,62454,62454
2021-2-16,62591,62591
2021-2-17,62718,62718
2021-2-18,62835,62835
2021-2-19,62958,62958
2021-2-20,63062,63062
2021-2-21,63108,63108
2021-2-22,63172,63172
2021-2-23,63190,63190
2021-2-24,63252,63252
2021-2-25,63441,63441
2021-2-26,63560,63560
2021-2-27,63664,63664
2021-2-28,63713,63713
2021-3-1,63777,63777
2021-3-2,63917,63917
2021-3-3,64050,64050
2021-3-4,64137,64137
2021-3-5,65254,65254
2021-3-6,64338,64338
2021-3-7,64396,64396
