Date,SDDATA.Hosp,SDDATA.HospCum
2021-2-9,6387,6387
2021-2-10,6397,6397
2021-2-11,6411,6411
2021-2-12,6425,6425
2021-2-13,6431,6431
2021-2-14,6438,6438
2021-2-15,6446,6446
2021-2-16,6461,6461
2021-2-17,6466,6466
2021-2-18,6475,6475
2021-2-19,6492,6492
2021-2-20,6509,6509
2021-2-21,6524,6524
2021-2-22,6537,6537
2021-2-23,6548,6548
2021-2-24,6570,6570
2021-2-25,6589,6589
2021-2-26,6591,6591
2021-2-27,6610,6610
2021-2-28,6626,6626
2021-3-1,6632,6632
2021-3-2,6640,6640
2021-3-3,6654,6654
2021-3-4,6664,6664
2021-3-5,6681,6681
2021-3-6,6692,6692
2021-3-7,6705,6705
