Date,TNDATA.Hosp,TNDATA.HospCum
2021-2-15,18027,18027
2021-2-16,18063,18063
2021-2-17,18120,18120
2021-2-18,18175,18175
2021-2-19,18235,18235
2021-2-20,18267,18267
2021-2-21,18284,18284
2021-2-22,18311,18311
2021-2-23,18363,18363
2021-2-24,18430,18430
2021-2-25,18506,18506
2021-2-26,18553,18553
2021-2-27,18586,18586
2021-2-28,18605,18605
2021-3-1,18620,18620
2021-3-2,18679,18679
2021-3-3,18742,18742
2021-3-4,18779,18779
2021-3-5,18837,18837
2021-3-6,18870,18870
2021-3-7,18870,18870
