Date,MDDATA.InIcuCum,MDDATA.InIcuCurr
2021-1-2,0,415
2021-1-3,0,412
2021-1-4,0,418
2021-1-5,0,410
2021-1-6,0,444
2021-1-7,0,427
2021-1-8,0,447
2021-1-9,0,449
2021-1-10,0,485
2021-1-11,0,447
2021-1-12,0,456
2021-1-13,0,454
2021-1-14,0,425
2021-1-15,0,421
2021-1-16,0,412
2021-1-17,0,408
2021-1-18,0,421
2021-1-19,0,411
2021-1-20,0,420
2021-1-21,0,424
2021-1-22,0,424
2021-1-23,0,405
2021-1-24,0,392
2021-1-25,0,395
2021-1-26,0,367
2021-1-27,0,374
2021-1-28,0,376
2021-1-29,0,367
2021-1-30,0,380
2021-1-31,0,364
2021-2-1,0,371
2021-2-2,0,366
2021-2-3,0,361
2021-2-4,0,340
2021-2-5,0,341
2021-2-6,0,337
2021-2-7,0,326
2021-2-8,0,318
2021-2-9,0,326
2021-2-10,0,324
2021-2-11,0,324
2021-2-12,0,326
2021-2-13,0,316
2021-2-14,0,293
2021-2-15,0,285
2021-2-16,0,293
2021-2-17,0,272
2021-2-18,0,279
2021-2-19,0,272
2021-2-20,0,278
2021-2-21,0,284
2021-2-22,0,276
2021-2-23,0,258
2021-2-24,0,249
2021-2-25,0,243
2021-2-26,0,245
2021-2-27,0,222
2021-2-28,0,240
2021-3-1,0,235
2021-3-2,0,232
2021-3-3,0,228
2021-3-4,0,216
2021-3-5,0,229
2021-3-6,0,230
2021-3-7,0,215
