Date,MADATA.InIcuCum,MADATA.InIcuCurr
2021-2-4,0,335
2021-2-5,0,322
2021-2-6,0,310
2021-2-7,0,318
2021-2-8,0,329
2021-2-9,0,324
2021-2-10,0,309
2021-2-11,0,304
2021-2-12,0,300
2021-2-13,0,291
2021-2-14,0,290
2021-2-15,0,286
2021-2-16,0,275
2021-2-17,0,273
2021-2-18,0,271
2021-2-19,0,258
2021-2-20,0,246
2021-2-21,0,234
2021-2-22,0,229
2021-2-23,0,225
2021-2-24,0,219
2021-2-25,0,221
2021-2-26,0,211
2021-2-27,0,204
2021-2-28,0,183
2021-3-1,0,184
2021-3-2,0,187
2021-3-3,0,173
2021-3-4,0,168
2021-3-5,0,180
2021-3-6,0,176
2021-3-7,0,174
